,radius,start_time,a_avg,b_avg,bstd_avg,n_avg,mc_avg,a_std,b_std,bstd_std,n_std,mc_std,diff
194,5,2001-01-31 00:00:00+00:00,10.915184575359547,5.001057563447214,6.164080541566694e-17,2.6419753086419755,0.9753086419753092,11.257763774002951,3.9101442370499586,1.276425660009608e-16,1.3721210039142744,0.1706830865943744,-0.2536792710138851
195,5,2001-07-31 00:00:00+00:00,11.465571868409281,5.001056274132144,1.1499815534648438e-16,2.4939759036144578,1.01566265060241,11.573257588693433,4.052698804866058,3.6101260074770583e-16,1.2432598179873908,0.14937424575651467,-1.289315069818997e-06
196,5,2002-01-31 00:00:00+00:00,11.798189119683087,5.082174965692296,1.0848692896075191e-16,2.2804878048780486,1.021951219512196,11.684576294076363,4.029060192533649,3.7495895800557052e-16,1.2097789844461124,0.1405670967979282,0.08111869156015228
197,5,2002-07-31 00:00:00+00:00,9.823480262878968,4.523925333981114,2.2024944906056177e-16,2.7534246575342465,0.9547945205479458,11.030106967589434,3.994953405982917,1.0264803013044188e-15,1.4698906036184407,0.1708159307318285,-0.558249631711182
198,5,2003-01-31 00:00:00+00:00,14.582540025456307,5.542644255627684,8.189338244864961e-17,2.3066666666666666,1.033333333333334,12.341848929162536,3.9936787187642557,2.1260295140623048e-16,1.2408947658120817,0.15882451078226303,1.0187189216465695
199,5,2003-07-31 00:00:00+00:00,13.184245350684929,5.649938947984951,1.1316907703810495e-16,2.1625,1.0262500000000008,11.732067193162175,3.878766921289221,4.1186012011228003e-16,1.0487334132904789,0.15970205645339391,0.10729469235726707
200,5,2004-01-31 00:00:00+00:00,8.984690246801822,3.839425261322557,1.6005625955095458e-16,2.710526315789474,0.964473684210527,11.213446662936326,3.985130541811611,5.150392424633357e-16,1.0173926082384548,0.17181691602277974,-1.8105136866623939
201,5,2004-07-31 00:00:00+00:00,10.470155482128595,4.830768394734116,4.2415312214530756e-16,2.45679012345679,0.967901234567902,11.201864899840423,3.9882576486679246,3.016476746891151e-15,1.0612419930916959,0.1835940906550556,0.9913431334115588
202,5,2005-01-31 00:00:00+00:00,10.452997216887066,4.23080634814526,1.6286496730234354e-16,2.55,0.9687500000000007,11.828238078238433,3.9991605083217654,4.920662988582897e-16,1.1572555924812438,0.19066422868819907,-0.599962046588856
203,5,2005-07-31 00:00:00+00:00,10.715461868721995,5.020627696510016,4.780362199568394e-17,2.027027027027027,1.05945945945946,11.173334531583611,4.1140482761546195,4.4001297803549086e-17,0.7580250650602088,0.09203769168180376,0.7898213483647565
204,5,2006-01-31 00:00:00+00:00,10.752041898442975,4.677102639677819,4.838779014963208e-17,2.1097560975609757,1.058536585365854,11.587598473044155,4.133866740833215,4.279169229295647e-17,0.7536921066516664,0.09155881805432496,-0.34352505683219725
205,5,2006-07-31 00:00:00+00:00,10.785309297253265,4.305233993783007,4.9290343176871095e-17,2.2253521126760565,1.0563380281690145,11.988752012188725,4.112174803215306,3.890508171848579e-17,0.7782247765375385,0.09060494210140628,-0.3718686458948115
206,5,2007-01-31 00:00:00+00:00,8.685889638065023,8.685889638065023,,1.0,1.0,5.379109836839715e-15,5.379109836839715e-15,,0.0,0.0,4.380655644282015
207,5,2007-07-31 00:00:00+00:00,,,,,,,,,,,
208,5,2008-01-31 00:00:00+00:00,,,,,,,,,,,
209,5,2008-07-31 00:00:00+00:00,,,,,,,,,,,
210,5,2009-01-31 00:00:00+00:00,,,,,,,,,,,
211,5,2009-07-31 00:00:00+00:00,,,,,,,,,,,
212,5,2010-01-31 00:00:00+00:00,,,,,,,,,,,
213,5,2010-07-31 00:00:00+00:00,,,,,,,,,,,
214,5,2011-01-31 00:00:00+00:00,,,,,,,,,,,
215,6,1990-01-31 00:00:00+00:00,7.208894388738348,3.444928790223433,5.173157894841893e-16,3.5842696629213484,1.0067415730337077,9.539328936623578,3.6026125949773036,1.2309960089948445e-15,1.9989144142625204,0.15359166112025507,
216,6,1990-07-31 00:00:00+00:00,7.382555960688288,3.336194181116222,4.813001274059158e-16,3.348314606741573,1.0247191011235959,10.013431367275018,3.664475504115071,1.6341361389229308e-15,1.8097031624720918,0.16395738004710297,-0.108734609107211
217,6,1991-01-31 00:00:00+00:00,7.492888815031314,3.594474034255331,1.7972458159997699e-16,3.2758620689655173,1.0425287356321848,9.700022474862978,3.838550373514968,4.922533247877095e-16,2.061212417951289,0.17890635715305966,0.25827985313910906
