radius,start_time,a_avg,b_avg,bstd_avg,n_avg,mc_avg,a_std,b_std,bstd_std,n_std,mc_std
21.0,2012-10-31 00:00:00+00:00,3.2246778099,0.715045463063,9.87356056535e-16,998.2,0.32,0.0103799421739,0.0132048711274,8.31858946595e-16,136.699833374,0.0823272602349
21.0,2012-11-30 00:00:00+00:00,3.2233260873,0.734375897409,9.22546064075e-16,848.3,0.408,0.0180838554333,0.0333468985629,6.64167978436e-16,152.376033403,0.105177099324
21.0,2012-12-31 00:00:00+00:00,3.21338265698,0.736697720141,9.85281603859e-16,812.7,0.418,0.0122958003792,0.0277819425834,5.29258653269e-16,130.333802216,0.0829725523559
21.0,2013-01-31 00:00:00+00:00,3.20779178678,0.717250134965,9.6526289858e-16,783.6,0.442,0.0114783914208,0.0217399807851,6.339347244e-16,116.060520611,0.0989724989861
21.0,2013-02-28 00:00:00+00:00,3.18833132653,0.706325913026,6.0600848092e-16,896.4,0.337,0.00860772839857,0.0104747693447,5.66928809371e-16,99.705343666,0.0728849931208
21.0,2013-03-31 00:00:00+00:00,3.19018297912,0.723359953482,6.68647423113e-16,788.8,0.409,0.0190756232363,0.0187480151367,4.25335654056e-16,105.718494125,0.0730981075906
21.0,2013-04-30 00:00:00+00:00,3.16444931463,0.709438288423,2.69238530942e-16,753.2,0.413,0.0139725789519,0.0251653181016,1.34407930281e-16,131.761400519,0.113141995347
21.0,2013-05-31 00:00:00+00:00,3.17477649999,0.725077152428,1.32363510484e-15,753.9,0.413,0.0103625189672,0.0238404836266,7.9985291156e-16,106.696297968,0.0749888880657
21.0,2013-06-30 00:00:00+00:00,3.14865930233,0.715855071748,4.15808190652e-16,791.3,0.354,0.0115582618982,0.0135325061664,3.39102630448e-16,112.616408909,0.0958239125804
21.0,2013-07-31 00:00:00+00:00,3.15164366781,0.738947336496,9.11146849278e-16,655.0,0.458,0.0231232375593,0.0299888853134,6.43447545553e-16,124.928423952,0.104541326225
21.0,2013-08-31 00:00:00+00:00,3.12410830593,0.703166820228,5.72236919478e-16,767.4,0.347,0.0213476186555,0.0279211374993,4.5516506265e-16,143.415635286,0.125879130739
21.0,2013-09-30 00:00:00+00:00,3.100373191,0.700287593255,6.2815027109e-16,654.8,0.408,0.0243775913229,0.0306524325838,4.25271082509e-16,99.1786267298,0.0927122190197
21.0,2013-10-31 00:00:00+00:00,3.09827051306,0.701333843427,8.34479480623e-16,693.6,0.37,0.0122805127803,0.013995940243,3.50466902983e-16,88.8996937877,0.0806914562461
21.0,2013-11-30 00:00:00+00:00,3.10118456015,0.732440428971,6.4855607091e-16,576.5,0.47,0.0127675221389,0.0275537840404,3.46777967542e-16,109.902229277,0.109747184221
21.0,2013-12-31 00:00:00+00:00,3.07755879859,0.699070863453,9.081902124e-16,637.8,0.395,0.0128629855466,0.0234655674107,6.06068164975e-16,90.3189410429,0.0911957601354
21.0,2014-01-31 00:00:00+00:00,3.07535934875,0.713515541323,7.43540000891e-16,536.3,0.487,0.0286277542785,0.0308453249651,5.43808679786e-16,80.334094049,0.077035345423
21.0,2014-02-28 00:00:00+00:00,3.06300604226,0.721886064697,9.65176464816e-16,616.3,0.386,0.0197852361942,0.0367260617538,6.90784636211e-16,133.593953622,0.139220049642
21.0,2014-03-31 00:00:00+00:00,3.04272405564,0.711249853657,4.63527152011e-16,557.4,0.417,0.0135841032285,0.0344313562066,3.8747456563e-16,43.0043925405,0.0405654478042
21.0,2014-04-30 00:00:00+00:00,3.02960009814,0.731639657077,5.47721261803e-16,510.1,0.45,0.0170960550325,0.0230769585385,5.85027399469e-16,106.345819539,0.126491106407
21.0,2014-05-31 00:00:00+00:00,3.00638843081,0.74774682409,6.73333499038e-16,488.7,0.425,0.0170655941067,0.0272728813371,3.17743017391e-16,47.9792779344,0.06204836823
21.0,2014-06-30 00:00:00+00:00,3.01524123952,0.776566661006,7.32040186023e-16,449.7,0.468,0.0272981058845,0.0358602069302,4.87459876441e-16,69.0491773223,0.0875341203316
21.0,2014-07-31 00:00:00+00:00,2.98739767249,0.750986854727,8.37232314952e-16,450.7,0.445,0.0174950512672,0.0267417269939,5.8157914371e-16,72.5458475724,0.0882232017858
21.0,2014-08-31 00:00:00+00:00,2.97836186677,0.766749338999,9.20506672155e-16,407.7,0.48,0.023135013604,0.0374445881857,7.00360556437e-16,33.9019828984,0.048304589154
21.0,2014-09-30 00:00:00+00:00,2.95565927067,0.775561693279,7.7398291642e-16,395.7,0.462,0.0155508484191,0.03116386609,5.96994702407e-16,25.8373115216,0.0265832027165
21.0,2014-10-31 00:00:00+00:00,2.91283179418,0.735757296798,5.28402355042e-16,425.8,0.391,0.0199351483597,0.0324810325052,4.39345205166e-16,85.8277344452,0.127056417915
21.0,2014-11-30 00:00:00+00:00,2.90737157149,0.735696072026,4.25717343841e-16,410.2,0.398,0.00824933740795,0.0164827517437,2.01620543803e-16,13.9108271182,0.0103279555899
21.0,2014-12-31 00:00:00+00:00,2.92257424063,0.784635707953,5.11403899792e-16,316.5,0.542,0.0390126995046,0.0377604758644,3.29495082836e-16,50.9885608086,0.0781451640645
21.5,1990-01-31 00:00:00+00:00,4.20175281398,0.636086102023,1.57496217742e-15,7975.3,0.473,0.00532141752805,0.00921530743088,1.28419390964e-15,649.027828542,0.0549848463973
21.5,1990-02-28 00:00:00+00:00,4.19586608183,0.631540641365,2.25841595158e-15,8460.9,0.425,0.00454157235328,0.00485897899865,2.30212438104e-15,201.846173552,0.0158113883008
21.5,1990-03-31 00:00:00+00:00,4.19727665596,0.628458200055,2.27736334482e-15,8790.6,0.403,0.00417232687006,0.00343531732562,2.10555836199e-15,165.347580031,0.0133749350985
21.5,1990-04-30 00:00:00+00:00,4.19978019938,0.636413583232,1.56950170403e-15,7986.1,0.469,0.00647855795533,0.010398708879,1.10097604056e-15,753.345346512,0.0631488541288
21.5,1990-05-31 00:00:00+00:00,4.1991928905,0.634816648128,1.28206469702e-15,7972.4,0.47,0.00374909248981,0.00570664651569,1.15665085303e-15,541.230121524,0.048304589154
21.5,1990-06-30 00:00:00+00:00,4.19470599836,0.628301116421,1.68024930012e-15,8644.1,0.412,0.00252261520377,0.0071383160648,2.24374685232e-15,638.31330691,0.0518116246073
