,radius,start_time,a,b,bstd,n,mc
190,5,1999-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
191,5,1999-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
192,5,2000-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
193,5,2000-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
194,5,2001-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
195,5,2001-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
196,5,2002-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
197,5,2002-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
198,5,2003-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
199,5,2003-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
200,5,2004-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
201,5,2004-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
202,5,2005-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
203,5,2005-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
204,5,2006-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
205,5,2006-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
206,5,2007-01-31 00:00:00+00:00,8.685889638065028,8.685889638065028,,1.0,1.0
207,5,2007-07-31 00:00:00+00:00,,,,,
208,5,2008-01-31 00:00:00+00:00,,,,,
209,5,2008-07-31 00:00:00+00:00,,,,,
210,5,2009-01-31 00:00:00+00:00,,,,,
211,5,2009-07-31 00:00:00+00:00,,,,,
212,5,2010-01-31 00:00:00+00:00,,,,,
213,5,2010-07-31 00:00:00+00:00,,,,,
214,5,2011-01-31 00:00:00+00:00,,,,,
215,6,1990-01-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
216,6,1990-07-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
217,6,1991-01-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
218,6,1991-07-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
219,6,1992-01-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
220,6,1992-07-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
221,6,1993-01-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
222,6,1993-07-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
223,6,1994-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
224,6,1994-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
225,6,1995-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
226,6,1995-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
227,6,1996-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
228,6,1996-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
229,6,1997-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
230,6,1997-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
231,6,1998-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
